Respondent_ID,Segment,Gender,Q1_Age,Q2_Nationality,Q3_Income_Bracket,Q3_Income_AED_Month,Q4_Living_Situation,Q5_Area_Dubai,Q6_Num_Apps_Used,Q7_Monthly_Service_Spend_AED,Q8_Hours_Logistics_Per_Week,Q9_Uses_Laundry,Q9_Uses_Cleaning,Q9_Uses_Carwash,Q9_Uses_Grocery,Q9_Uses_Salon,Q9_Uses_Maintenance,Q9_Uses_Petcare,Q9_Uses_Airport,Q9_Uses_Concierge,Q10_Satisfaction_Current,Q11_Problem_Frequency,Q12_Pain_Score_1to10,Q13_Primary_Frustration,Q14_Importance_One_App,Q15_Freq_Laundry,Q15_Freq_Cleaning,Q15_Freq_Carwash,Q15_Freq_Grocery,Q15_Freq_Salon,Q15_Freq_Maintenance,Q15_Freq_Petcare,Q16_Car_Ownership,Q17_Pet_Ownership,Q18_Subscription_Intent,Q19_WTP_AED_Month,Q19_WTP_Category,Q20_Preferred_Payment,Q21_Rank_Laundry,Q21_Rank_Cleaning,Q21_Rank_Carwash,Q21_Rank_Grocery,Q21_Rank_Salon,Q21_Rank_Maintenance,Q21_Rank_Petcare,Q21_Rank_Airport,Q21_Rank_Concierge,Q22_AI_Comfort,Q23_Existing_Subscriptions,Q24_Trust_Driver,Q25_LifeScore,Would_Subscribe
LP0001,Busy Professional,Female,34,Other,3,19000.0,Flatmates,Mirdif/Sports City,8,1120.0,2,1,1,0,1,1,0,0,0,0,3,3,5.7,Unreliable quality/timing,4,5,3,4,4,4,2,1,Own car,No pets,5,550.0,AED 500-749,Flexible credits,1,0,0,3,2,0,0,0,0,4,3,Verified partners,3,1
LP0002,Budget Expat,Male,30,Filipino,3,11400.0,Couple no kids,International City/Al Quoz,3,470.0,2,0,1,1,1,0,1,0,0,0,2,3,4.3,Too many apps to manage,3,2,5,4,3,3,3,1,No car,One pet,4,270.0,AED 200-299,Annual subscription,0,1,2,3,0,0,0,0,0,2,1,Free trial,3,0
LP0003,Premium Resident,Male,47,British/Western,4,30100.0,Family with kids,Palm/Emirates Hills,5,4370.0,2,1,1,1,1,0,0,0,1,1,2,4,8.8,Too many apps to manage,5,3,5,4,5,5,4,2,Own car,One pet,5,540.0,AED 500-749,Annual subscription,0,2,0,1,3,0,0,0,0,3,3,Free trial,1,1
LP0004,Premium Resident,Female,42,Other,3,19100.0,Family with kids,Deira/Bur Dubai,9,10140.0,3,0,1,1,1,1,0,0,1,1,2,3,6.0,Unreliable quality/timing,3,4,3,4,4,4,4,3,Own car,Multiple pets,4,590.0,AED 500-749,Annual subscription,3,0,1,0,0,2,0,0,0,4,3,Free trial,4,1
LP0005,Budget Expat,Female,38,Indian,2,7300.0,Flatmates,Other,3,230.0,2,1,0,0,1,0,1,0,0,0,3,1,5.9,Hard to book and track,4,3,2,1,5,2,1,2,Family car,No pets,2,140.0,AED 100-199,Pay per use + discount,2,3,0,1,0,0,0,0,0,2,3,Data privacy,3,0
LP0006,Premium Resident,Female,46,British/Western,3,14600.0,Living alone,Downtown/Business Bay,8,2880.0,5,0,1,1,0,1,1,1,1,0,3,2,9.3,No cross-service loyalty,3,3,4,4,5,4,5,1,Own car,Multiple pets,4,380.0,AED 300-399,Annual subscription,0,0,0,1,3,2,0,0,0,4,2,Verified partners,5,1
LP0007,Nuclear Family,Male,34,Indian,2,9600.0,Family with kids,Downtown/Business Bay,6,1890.0,4,1,1,1,0,1,1,0,1,0,3,4,5.4,Too many apps to manage,4,5,5,2,4,3,4,3,Family car,One pet,5,330.0,AED 300-399,Monthly subscription,1,2,0,3,0,0,0,0,0,4,0,Verified partners,3,1
LP0008,Busy Professional,Female,33,Pakistani,1,3900.0,Living alone,Downtown/Business Bay,8,760.0,2,1,1,1,1,0,1,0,0,0,2,2,7.2,Too many apps to manage,4,5,2,5,4,4,2,2,Own car,No pets,4,250.0,AED 200-299,Monthly subscription,2,0,1,3,0,0,0,0,0,5,2,Data privacy,2,1
LP0009,Nuclear Family,Female,31,Indian,4,31000.0,Family with kids,Deira/Bur Dubai,7,2410.0,4,1,1,1,1,1,1,1,0,0,2,3,7.9,Too many apps to manage,5,3,5,1,4,3,4,2,Own car,Multiple pets,5,270.0,AED 200-299,Monthly subscription,0,1,0,3,0,2,0,0,0,3,1,Transparent pricing,3,1
LP0010,Premium Resident,Female,34,Emirati,4,24600.0,Extended family,Palm/Emirates Hills,8,5230.0,3,1,1,1,0,1,1,1,1,0,1,2,8.0,No cross-service loyalty,5,4,5,4,5,3,4,1,Family car,No pets,5,1060.0,AED 750+,Flexible credits,3,1,0,2,0,0,0,0,0,3,3,Data privacy,4,1
